Row Labels,Count of Keyword,Average of Ranking
Boyfriend,19,2.947368421
girlfriend,21,4.047619048
ya,27,4.925925926
club,20,5.3
Dancing,24,7.666666667
Goodbye,20,8
Nobody,34,8.352941176
uah,16,9
Eh,31,9.870967742
She’s,21,11
Who,20,12.95
was,63,13.96825397
ooh,94,14.03191489
somebody,18,14.72222222
Ain't,56,15.26785714
baby,73,15.36986301
guy,19,15.68421053
Try,26,16.11538462
Yeh,19,16.31578947
bad,44,16.31818182
up,54,16.68518519
feel,19,17
gotta,21,17.0952381
fall,17,18.41176471
way,31,18.70967742
keep,30,18.86666667
very,21,19
here,21,19.0952381
Drunk,18,19.22222222
he,20,19.3
by,20,19.35
'Cause,40,19.375
take,33,19.45454545
play,18,19.55555556
They,80,19.9375
show,17,19.94117647
tell,53,20.13207547
always,21,20.23809524
done,22,20.77272727
but,169,20.77514793
Two,27,21
good,24,21.16666667
why,29,21.24137931
da,58,21.4137931
Put,23,21.7826087
not,69,21.8115942
at,82,21.95121951
coming,21,22
only,16,22
Uh,43,22.04651163
My,251,22.27091633
I'm,211,22.27488152
got,146,22.6369863
how,52,22.69230769
Even,29,22.79310345
could,30,22.83333333
are,73,22.83561644
you're,69,22.91304348
When,135,23.34814815
is,88,23.39772727
nigga,21,23.42857143
crazy,30,23.46666667
gonna,17,23.47058824
money,18,23.72222222
single,16,23.75
yeah,161,23.7515528
Make,34,23.76470588
as,29,23.86206897
some,19,23.94736842
Nothing,30,24
we,160,24.0125
I,918,24.01851852
everything,20,24.1
ayy,18,24.11111111
or,16,24.125
wanna,56,24.19642857
being,24,24.20833333
don't,221,24.23529412
still,20,24.35
really,34,24.5
leave,21,24.52380952
Because,22,24.86363636
out,65,25
give,18,25
to,414,25.03381643
no,116,25.12931034
should,16,25.1875
want,156,25.39102564
heart,22,25.45454545
ay,19,25.47368421
change,22,25.5
your,139,25.58992806
say,46,25.60869565
dance,23,25.60869565
like,165,25.63030303
off,27,25.7037037
and,395,25.73670886
with,155,25.75483871
will,22,25.81818182
a,265,25.97358491
she's,23,26
drink,16,26.0625
life,26,26.07692308
it,286,26.07692308
every,20,26.1
see,81,26.11111111
back,34,26.11764706
let,37,26.24324324
The,597,26.35845896
wants,35,26.45714286
in,186,26.49462366
down,60,26.5
touch,39,26.53846154
for,161,26.60248447
now,90,26.66292135
break,20,26.7
more,28,26.78571429
Her,103,26.91262136
all,116,27.03448276
You,885,27.10282486
too,39,27.23076923
did,18,27.27777778
doesn't,36,27.27777778
know,163,27.33128834
So,82,27.34146341
fuck,34,27.38235294
be,112,27.39285714
does,17,27.41176471
it's,117,27.44444444
place,16,27.5
me,480,27.51041667
do,66,27.56060606
Move,34,27.61764706
thought,32,27.6875
going,35,27.77142857
can't,80,27.7875
Music,19,27.84210526
Love,96,28.09375
on,126,28.1031746
what,103,28.15533981
myself,22,28.18181818
she,206,28.18446602
friends,20,28.25
of,112,28.375
oh,109,28.39449541
from,41,28.41463415
have,61,28.45901639
That,275,28.71272727
can,62,28.83870968
hold,16,28.9375
another,20,29.25
get,56,29.25
time,45,29.48888889
DJ,16,29.625
night,16,29.625
girl,39,29.76923077
just,110,29.95454545
before,35,30
stop,17,30.11764706
tonight,36,30.41666667
again,33,30.48484848
need,48,30.60416667
nights,22,30.68181818
this,60,30.73333333
that's,61,30.8852459
Never,72,30.93055556
dark,16,31
call,33,31.09090909
about,62,31.30645161
one,96,31.6875
making,18,31.72222222
things,27,31.77777778
If,105,32.07619048
go,79,32.20253165
you'll,25,32.24
Look,25,32.28
We're,20,32.35
something,19,32.36842105
then,40,32.4
day,17,32.41176471
without,34,32.64705882
him,16,32.75
over,68,33.04411765
means,18,33.33333333
through,23,33.39130435
come,51,33.39215686
pain,18,33.44444444
dances,20,33.8
knew,22,34.04545455
talk,31,34.51612903
Think,29,34.5862069
I'll,48,35.0625
Where,16,36.625
thing,27,36.74074074
ah,22,36.77272727
Been,57,37.29824561
find,22,37.31818182
said,19,37.47368421
I've,53,38.83018868
Oh-oh,39,38.97435897
Right,35,39.14285714
bout,18,39.38888889
lonely,21,40
higher,39,41.20512821
bring,38,41.34210526
mine,26,43.46153846
wrong,25,43.72
height,30,45
poom,32,45
I’ll,32,47
kidnap,19,47
Cross,40,48
Grand Total,14584,26.08674484
